station,model_a,model_b,DM,p
Comilla,ANN,SNAIVE,-1.7787428874508247,0.07740659889585634
Comilla,ANN,SARIMA,3.2965180724808123,0.0012347684509061555
Comilla,ANN,SVR,2.395877783935841,0.01787423397637795
Comilla,ANN,XGB,0.9873031528965858,0.3251616311753168
Comilla,ANN,LSTM,0.9750645785080205,0.33117479113529485
Comilla,ANN,SARIMA+ANN,1.8829143110069382,0.061743157701904
Comilla,ANN,SARIMA+SVR,3.6737413588980217,0.0003370756194648349
Comilla,ANN,SARIMA+XGB,3.2481698196161655,0.0014475460394424281
Comilla,ANN,SARIMA+LSTM,2.9120973387443803,0.0041665663611180044
Comilla,SVR,XGB,-1.4639122701956282,0.14541270843996018
Comilla,LSTM,SNAIVE,-1.5679168502321914,0.11911072221610525
Comilla,LSTM,SARIMA,2.931670480434005,0.003926873763946799
Comilla,LSTM,SVR,2.385160866044774,0.01838239179623388
Comilla,LSTM,XGB,0.7724767039059407,0.4411069880532299
Comilla,LSTM,SARIMA+ANN,1.7117569008106652,0.08910938140416305
Comilla,LSTM,SARIMA+SVR,2.563340248332167,0.011399919946977057
Comilla,LSTM,SARIMA+XGB,2.8792324758151175,0.004599379050421327
Comilla,LSTM,SARIMA+LSTM,3.0228745745505345,0.002968172844799429
Comilla,SARIMA+ANN,SNAIVE,-1.9444673187697301,0.053801885279503234
Comilla,SARIMA+ANN,SVR,1.171700132523486,0.2432659776786373
Comilla,SARIMA+ANN,XGB,-0.6930255470750812,0.48941753447985187
Comilla,SARIMA+ANN,SARIMA+SVR,0.8051340990238453,0.4220789722775372
Comilla,SARIMA+ANN,SARIMA+XGB,0.8261363263034165,0.4101029898658147
Comilla,SARIMA+ANN,SARIMA+LSTM,1.2030770060962235,0.2309345628652873
Comilla,SARIMA+SVR,SNAIVE,-3.4694927032671696,0.0006894688954842971
Comilla,SARIMA+SVR,SVR,-0.42112445164469736,0.6742964818945592
Comilla,SARIMA+SVR,XGB,-0.9353421277438521,0.35118883989240657
Comilla,SARIMA+SVR,SARIMA+XGB,-0.42677037001325197,0.6701884055468856
Comilla,SARIMA+XGB,SNAIVE,-2.931874776339836,0.0039244400807913445
Comilla,SARIMA+XGB,SVR,-0.35550070463306516,0.7227383628366487
Comilla,SARIMA+XGB,XGB,-1.027254265088069,0.30603522694052826
Comilla,SARIMA+LSTM,SNAIVE,-2.5729740197555873,0.01110133981219424
Comilla,SARIMA+LSTM,SVR,-0.5516403854493254,0.5820557635442829
Comilla,SARIMA+LSTM,XGB,-1.4070149501510711,0.16159266999439398
Comilla,SARIMA+LSTM,SARIMA+SVR,0.2709435903275517,0.7868251181404081
Comilla,SARIMA+LSTM,SARIMA+XGB,0.10600609172420815,0.9157260788882785
Cox's Bazar,SNAIVE,SVR,3.609318937401088,0.0004237735904317992
Cox's Bazar,SNAIVE,XGB,0.9661039682704236,0.3356231859747037
Cox's Bazar,SARIMA,SNAIVE,-4.016628455252067,9.500415773360816e-05
Cox's Bazar,SARIMA,SVR,0.6417594824859675,0.5220567373975471
Cox's Bazar,SARIMA,XGB,-1.1490209401167197,0.25246559207281266
Cox's Bazar,SARIMA,SARIMA+ANN,0.7044315645822973,0.48230968631231363
Cox's Bazar,SARIMA,SARIMA+SVR,-1.9119003143373139,0.057889051864119405
Cox's Bazar,SARIMA,SARIMA+XGB,-0.7490521291286809,0.45505615612400946
Cox's Bazar,SARIMA,SARIMA+LSTM,1.9098674726372213,0.05815259725977517
Cox's Bazar,ANN,SNAIVE,-0.08712149641877018,0.9306968151991469
Cox's Bazar,ANN,SARIMA,3.0387380117440967,0.002825325654449823
Cox's Bazar,ANN,SVR,3.6811266758316092,0.0003282849213067138
Cox's Bazar,ANN,XGB,3.5559023385394792,0.0005112069824337185
Cox's Bazar,ANN,LSTM,0.44621211135563277,0.6561189609634437
Cox's Bazar,ANN,SARIMA+ANN,3.292027627465965,0.0012532268511688896
Cox's Bazar,ANN,SARIMA+SVR,2.795169107149416,0.00590007610980349
Cox's Bazar,ANN,SARIMA+XGB,2.890613175882408,0.004445049242715764
Cox's Bazar,ANN,SARIMA+LSTM,3.6664094567129335,0.0003460225444679348
Cox's Bazar,SVR,XGB,-1.5266248885236107,0.12906310060474704
Cox's Bazar,LSTM,SNAIVE,-0.5012621411443583,0.6169574131123986
