date,station,origin,actual,SNAIVE,SARIMA,SVR,SARIMA+SVR,XGB,SARIMA+XGB,ANN,SARIMA+ANN
2017-11-01,Dhaka,2014,30.19,29.6,29.90056722989953,30.148900417609866,29.77737589310385,29.86184,29.9207120687393,29.74869969835145,29.735597301898427
2017-12-01,Dhaka,2014,26.76,27.76,26.350142018609493,27.421810174731046,26.328857555482504,27.174778,26.32502606671378,27.548369456771347,25.978385497344764
2018-01-01,Dhaka,2017,23.6,26.37,25.147586356174248,25.365017365900467,25.08136120969196,25.874952,25.146488553170162,25.497151852219073,25.008336019564332
2018-02-01,Dhaka,2017,29.22,29.57,28.384722858866336,27.876567557706665,28.327870386588835,28.595036,28.369741807890716,28.071198116837436,28.196608897506497
2018-03-01,Dhaka,2017,33.32,30.48,32.64442111768618,32.47941358734238,32.626933024680916,32.83232,32.646256713968214,32.61824540745723,32.81697367954713
2018-04-01,Dhaka,2017,33.03,32.79,34.51494433208625,34.862196148376626,34.67998123651136,33.978848,34.49996328111063,34.92543675165075,34.59485802119404
2018-05-01,Dhaka,2017,32.33,34.5,33.64774934060883,33.45629337678907,33.65488882980092,33.44866,33.63276828963321,33.279380835036946,33.628595214258866
2018-06-01,Dhaka,2017,33.54,33.04,32.45597593110918,32.49633219244039,32.49248225183383,32.522877,32.471282213897695,32.39752094918659,32.319102552092005
2018-07-01,Dhaka,2017,32.79,31.98,32.23769142043212,32.18674873126325,32.449235512705975,32.2441,32.27076408204058,32.230313500320165,32.57281131231211
2018-08-01,Dhaka,2017,33.8,32.59,32.65841444577735,32.58616541119776,32.606816784523254,32.358864,32.65856239009362,32.57066239787317,32.5822047820027
2018-09-01,Dhaka,2017,34.13,33.08,33.10756924246515,32.29046123495415,32.914443652360745,32.38069,33.10771718678142,32.51694532746828,32.73885159114501
2018-10-01,Dhaka,2017,31.99,31.99,32.82991088976123,32.507206950492375,32.95548941982005,32.124718,32.88112999548175,33.06439163767338,32.806090501675854
2018-11-01,Dhaka,2017,30.29,30.19,30.09902618873115,29.959660430923037,30.29922656712929,30.228312,30.087873929656997,29.80571749644031,30.393354269531123
2018-12-01,Dhaka,2017,26.14,26.76,26.510977677676756,26.9201109749233,26.52264144945952,26.826782,26.476244695160467,26.771273404178256,26.521019128350428
2019-01-01,Dhaka,2017,27.17,23.6,24.84983345852985,25.25665561363538,24.89493774068701,24.528742,24.86238498506888,24.827747476506623,24.974390656420546
2019-02-01,Dhaka,2017,28.35,29.22,29.579101195213838,30.359099053566,29.528516522039528,29.617006,29.57800339220975,29.394483123645163,29.477402079417356
2019-03-01,Dhaka,2017,31.51,33.32,32.75327769786233,32.44273446885596,32.640311552831136,32.90496,32.73829664688671,32.21935112904518,32.48742070492409
2019-04-01,Dhaka,2017,33.68,33.03,33.823479739267604,33.80130941427073,33.85328678411424,32.832157,33.83919858305551,33.27506569253192,33.76985418683451
2019-05-01,Dhaka,2017,34.59,32.33,33.59219607801025,34.27304437892527,33.822624319312446,33.627834,33.60750236079876,34.78347065874966,34.552060761717144
2019-06-01,Dhaka,2017,33.58,33.54,33.30748225119834,33.45478357092218,33.39230495392073,32.94108,33.30778602720176,33.56571538988876,33.58873623556248
2019-07-01,Dhaka,2017,32.97,32.79,32.5275750141089,32.52139295404807,32.452281998353534,32.391003,32.543007784472884,32.55883334809314,32.55028276571916
2019-08-01,Dhaka,2017,33.75,33.8,32.89006799779525,32.55883756553391,32.83736051242187,32.41067,32.89021594211152,32.46100161666069,32.73466709145678
2019-09-01,Dhaka,2017,33.34,34.13,33.222809545147456,32.91535719645765,33.42852290475837,32.498077,33.188701111274995,32.97803357129305,33.49574050066357
2019-10-01,Dhaka,2017,32.06,31.99,32.51882657948062,32.47640527005735,32.64041195789313,32.20484,32.518974523796885,32.32473396948042,32.35043205337689
