date,station,origin,actual,SNAIVE,SARIMA,LSTM,SARIMA+LSTM
2019-04-01,Srimongal,2017,32.97,31.77,32.935357329972945,32.50583610296249,32.968668106375695
2019-05-01,Srimongal,2017,33.67,31.69,32.50480561868249,32.44963935375213,32.54079676605008
2019-06-01,Srimongal,2017,33.39,33.04,32.64945049431957,32.40966740608215,32.704611432023654
2019-07-01,Srimongal,2017,32.67,33.67,32.9396054088991,32.677671465873715,32.99467127074309
2019-08-01,Srimongal,2017,34.04,33.82,33.13929782940173,32.88406560182571,33.17866272925928
2019-09-01,Srimongal,2017,33.37,33.49,33.051207379556296,33.08483115196228,33.10556353371737
2019-10-01,Srimongal,2017,31.56,31.28,32.26085332814471,32.09475019931793,32.336170348188475
2019-11-01,Srimongal,2017,29.82,29.79,29.945190932699404,29.693279657363888,30.04674312795545
2019-12-01,Srimongal,2017,25.51,26.52,26.82720790927465,27.18524760365486,26.918707993140885
2020-01-01,Srimongal,2017,23.61,27.1,25.291394806116422,25.358083817958832,25.338418594703672
2020-02-01,Srimongal,2017,27.52,28.31,28.23012661190788,28.000737789869305,28.147949509345644
2020-03-01,Srimongal,2017,31.9,30.96,31.614514394287923,31.50751063585281,31.46735486207668
2020-04-01,Srimongal,2017,32.81,32.97,32.76793097878918,33.09576443195343,32.60100887265919
2020-05-01,Srimongal,2017,32.41,33.67,32.4379611551721,32.386640105247494,32.239535326673575
2020-06-01,Srimongal,2017,32.82,33.39,32.409135653122,32.074211750030514,32.17078756700672
2020-07-01,Srimongal,2017,33.04,32.67,32.66375961252885,32.29162362575531,32.42506339510767
2020-08-01,Srimongal,2017,33.94,34.04,33.08653235724888,32.68304977178573,32.890122329056766
2020-09-01,Srimongal,2017,33.07,33.37,32.99317484676818,32.911055538654324,32.832848028205746
2020-10-01,Srimongal,2017,33.27,31.56,32.13304502159641,32.080750021934506,32.01996490323622
2020-11-01,Srimongal,2017,30.7,29.82,30.160926906303793,30.182784531116482,30.138621185638904
2020-12-01,Srimongal,2017,26.33,25.51,27.042035195292918,27.573222521543503,27.089580460567344
2021-01-01,Srimongal,2020,25.81,23.61,25.481459761185906,24.13548373043537,25.604106811535257
2021-02-01,Srimongal,2020,29.38,27.52,28.75188395216232,27.384220514297485,28.92415425959225
2021-03-01,Srimongal,2020,33.47,31.9,32.25940466738001,31.800555083751675,32.4592301562985
2021-04-01,Srimongal,2020,35.1,32.81,33.41445458381881,33.354978475570675,33.63891053463166
2021-05-01,Srimongal,2020,34.4,32.41,33.22873669751925,33.15971210956573,33.514160169981885
2021-06-01,Srimongal,2020,32.91,32.82,33.242766587197224,33.17691168546676,33.59712843126275
2021-07-01,Srimongal,2020,32.91,33.04,33.176235915895305,33.04754254579544,33.549470934009996
2021-08-01,Srimongal,2020,32.9,33.94,33.39968417473852,32.88386801242828,33.76143790743862
2021-09-01,Srimongal,2020,34.33,33.07,32.99006826528027,32.50715723991394,33.300968930565645
2021-10-01,Srimongal,2020,33.46,33.27,32.397280535134385,32.30854735136032,32.70624602221251
2021-11-01,Srimongal,2020,30.22,30.7,30.36170822170563,30.4362057185173,30.6634337974953
2021-12-01,Srimongal,2020,26.98,26.33,26.995711128858147,27.486539278030396,27.28871224004505
2022-01-01,Srimongal,2020,25.35,25.81,25.61957795419239,25.428055260181427,25.91726575725295
2022-02-01,Srimongal,2020,26.9,29.38,28.778957949410316,28.18489963173866,29.038778304963426
2022-03-01,Srimongal,2020,33.25,33.47,31.897097129104242,31.335033688545224,32.05883178793988
2022-04-01,Srimongal,2020,33.99,35.1,33.23335517082348,33.80358776807785,33.33576800555731
2022-05-01,Srimongal,2020,32.38,34.4,32.95124740691894,33.14977530002594,33.0170906324344
2022-06-01,Srimongal,2020,31.98,32.91,32.68493684156945,32.654091689586636,32.71642546737777
2022-07-01,Srimongal,2020,34.08,32.91,32.70109800968667,32.48509851455688,32.716324094524715
2022-08-01,Srimongal,2020,34.0,32.9,33.319913421490696,32.92876807212829,33.35759210872983
2022-09-01,Srimongal,2020,33.62,34.33,33.23137073525697,33.27211335659027,33.310649240637126
2022-10-01,Srimongal,2020,32.2,33.46,32.43148386949924,32.77394941806793,32.51215429438274
2022-11-01,Srimongal,2020,31.67,30.22,30.125099085076478,30.267790589332577,30.20142247539321
2022-12-01,Srimongal,2020,28.01,26.98,27.12190296738544,28.08758724093437,27.2562083688193
2023-01-01,Srimongal,2020,26.67,25.35,25.858664336664575,25.514545176029205,26.053214523035557
2023-02-01,Srimongal,2020,29.6,26.9,29.0493547891058,27.123130921125412,29.307932790162855
2023-03-01,Srimongal,2020,31.27,33.25,32.6569849933286,31.578591678142544,33.00078368813721
2023-04-01,Srimongal,2020,34.88,33.99,33.321314322952084,32.67357942819595,33.60969966502686
2023-05-01,Srimongal,2020,34.45,32.38,33.10319644532157,33.15147921800613,33.38671272270735
2023-06-01,Srimongal,2020,33.37,31.98,33.11192932424159,33.02576277017593,33.44418449529387
2023-07-01,Srimongal,2020,34.43,34.08,33.286241229252745,33.02030852794647,33.652868368851735
2023-08-01,Srimongal,2020,32.9,34.0,33.70847944405487,33.22778436899185,34.072958637162046
2023-09-01,Srimongal,2020,34.94,33.62,33.26369945348644,32.73385659217834,33.602928213620636
2023-10-01,Srimongal,2020,32.39,32.2,32.65744687361214,32.673574004173275,33.011084533561714
2023-11-01,Srimongal,2020,30.86,31.67,30.38350427731554,30.736131701469418,30.739752087876248
2023-12-01,Srimongal,2020,27.44,28.01,27.132065750949064,28.071752969026562,27.449995489109384
2012-01-01,Bhola,2011,24.73,24.22,25.429342300046805,24.998463736176493,25.375962510610613
2012-02-01,Bhola,2011,29.32,28.87,28.354041503221293,28.675694377422335,28.308047916494672
2012-03-01,Bhola,2011,32.41,31.71,32.124530209689894,31.990723035931588,32.06578020261917
2012-04-01,Bhola,2011,32.96,32.88,33.305208860806566,33.472736803889276,33.27160474448303
2012-05-01,Bhola,2011,34.18,32.9,33.06644121972738,32.57186961889267,33.04440205623991
2012-06-01,Bhola,2011,32.51,31.55,31.99873127978489,31.777235085964207,32.01501099309641
2012-07-01,Bhola,2011,31.61,30.94,31.215121268501054,31.217460594773296,31.277043007950983
2012-08-01,Bhola,2011,31.77,30.76,31.58056364220872,31.411085982322696,31.681865484578147
2012-09-01,Bhola,2011,31.75,31.05,31.71139828221103,31.85872427940369,31.85964353093224
2012-10-01,Bhola,2011,31.69,32.67,32.023218852938065,31.863391886353497,32.197400054579944
2012-11-01,Bhola,2011,29.31,29.82,29.981575599752425,29.58946492791176,30.127451351061044
2012-12-01,Bhola,2011,25.34,26.0,26.767232156168394,26.633939127326013,26.897102343523667
2013-01-01,Bhola,2011,25.3,24.73,25.180657327055602,25.46597856104374,25.270649186501032
2013-02-01,Bhola,2011,29.29,29.32,28.467936047377066,29.573149569034577,28.523287143282115
2013-03-01,Bhola,2011,32.86,32.41,32.159731262607345,32.23988996267319,32.17356981128774
2013-04-01,Bhola,2011,33.59,32.96,33.40790832943978,33.81760078191758,33.42831752166505
2013-05-01,Bhola,2011,30.78,34.18,33.32278674433341,32.910699923038486,33.37078333649093
2013-06-01,Bhola,2011,32.36,32.51,31.28302270431345,31.235465128421787,31.24537593666783
2013-07-01,Bhola,2011,31.11,31.61,30.9355066234043,31.20879889249802,30.876677713482408
2013-08-01,Bhola,2011,31.0,31.77,31.36601405960444,31.255030609369282,31.303051191567633
2013-09-01,Bhola,2011,31.96,31.75,31.451476311441414,31.532567546963694,31.38424579836282
2013-10-01,Bhola,2011,31.12,31.69,31.96662707678288,31.553421015739445,31.917645862883862
2013-11-01,Bhola,2011,30.43,29.31,29.80034146288008,28.75469741791487,29.754360624649067
2013-12-01,Bhola,2011,27.14,25.34,26.915471407689477,26.737347283661368,26.900608613565026
2014-01-01,Bhola,2011,25.13,25.3,25.704348129415255,25.769943053722383,25.741547090350462
2014-02-01,Bhola,2011,27.83,29.29,28.660362105878015,28.831355863511565,28.685717714397484
2014-03-01,Bhola,2011,32.24,32.86,31.90282090773506,31.428015817403796,31.878383648858374
2014-04-01,Bhola,2011,35.54,33.59,33.16669490092821,33.44982534766197,33.11713311364833
2014-05-01,Bhola,2011,34.49,30.78,33.57700904487643,33.281373805999756,33.589254720714244
