station,model_a,model_b,DM,p
Bogra,SARIMA+LSTM,SARIMA+SVR,1.2967038276039644,0.19682159947856456
Bogra,SARIMA+LSTM,SARIMA+XGB,0.9539720088566087,0.34170761719685605
Chittagong,SNAIVE,SVR,1.8824204191935263,0.061810643941200415
Chittagong,SNAIVE,XGB,1.686194634813309,0.09393891656423399
Chittagong,SARIMA,SNAIVE,-3.7972188416796877,0.00021562066953008686
Chittagong,SARIMA,SVR,-2.8076161264494397,0.005688409775052433
Chittagong,SARIMA,XGB,-2.946087705208508,0.003758486999079648
Chittagong,SARIMA,SARIMA+ANN,-1.763030609260757,0.08003139752998727
Chittagong,SARIMA,SARIMA+SVR,-0.6144936635765702,0.5398656347834412
Chittagong,SARIMA,SARIMA+XGB,0.8836649934473222,0.3783603032636588
Chittagong,SARIMA,SARIMA+LSTM,-0.6969628935389828,0.48695748972466996
Chittagong,ANN,SNAIVE,-2.836752286507782,0.005219734843494208
Chittagong,ANN,SARIMA,1.8512051601355823,0.06620282535067057
Chittagong,ANN,SVR,-0.9790178319499191,0.3292245482649148
Chittagong,ANN,XGB,-1.1338535569340897,0.25875323386042504
Chittagong,ANN,LSTM,-1.3454843556232985,0.18059845902515162
Chittagong,ANN,SARIMA+ANN,0.9402809705221329,0.34865907306851623
Chittagong,ANN,SARIMA+SVR,1.692812010610016,0.0926687764486929
Chittagong,ANN,SARIMA+XGB,2.083434702841905,0.03899154812762435
Chittagong,ANN,SARIMA+LSTM,1.5178940137188368,0.13124881629929355
Chittagong,SVR,XGB,-0.4103832098266676,0.682139076251614
Chittagong,LSTM,SNAIVE,-2.1679996640083314,0.03181326801694197
Chittagong,LSTM,SARIMA,3.126354508958858,0.0021442976101620184
Chittagong,LSTM,SVR,0.2639714975342521,0.7921819143611701
Chittagong,LSTM,XGB,-0.08276874544715562,0.9341511665537485
Chittagong,LSTM,SARIMA+ANN,2.2097304726519287,0.028713963616755725
Chittagong,LSTM,SARIMA+SVR,2.9598352894795106,0.003604123138382395
Chittagong,LSTM,SARIMA+XGB,3.3941026132085685,0.0008911876914861575
Chittagong,LSTM,SARIMA+LSTM,2.7066688306101376,0.007623999148925622
Chittagong,SARIMA+ANN,SNAIVE,-3.221345192923388,0.0015798642654105402
Chittagong,SARIMA+ANN,SVR,-1.8694892166545405,0.06359965780455286
Chittagong,SARIMA+ANN,XGB,-2.0492170699696013,0.042268929041312894
Chittagong,SARIMA+ANN,SARIMA+SVR,1.3169667996437877,0.18995628802202455
Chittagong,SARIMA+ANN,SARIMA+XGB,2.238835737743154,0.026711017659286577
Chittagong,SARIMA+ANN,SARIMA+LSTM,0.8827930482785792,0.37882971488681655
Chittagong,SARIMA+SVR,SNAIVE,-3.77187997080809,0.0002365276159569495
Chittagong,SARIMA+SVR,SVR,-2.765690127557871,0.006430280636168351
Chittagong,SARIMA+SVR,XGB,-2.7733383008549457,0.00628871181697183
Chittagong,SARIMA+SVR,SARIMA+XGB,1.4086325776059272,0.1611144290064125
Chittagong,SARIMA+XGB,SNAIVE,-3.9824967486783476,0.00010815307522161676
Chittagong,SARIMA+XGB,SVR,-2.9890610841221648,0.0032951406492937375
Chittagong,SARIMA+XGB,XGB,-3.092728707573762,0.0023853404848774946
Chittagong,SARIMA+LSTM,SNAIVE,-3.5678679175339423,0.0004902580942675448
Chittagong,SARIMA+LSTM,SVR,-2.462007752520636,0.01500496401503686
Chittagong,SARIMA+LSTM,XGB,-2.5470378416858312,0.011921622681430011
Chittagong,SARIMA+LSTM,SARIMA+SVR,0.20127514716561148,0.8407694503046113
Chittagong,SARIMA+LSTM,SARIMA+XGB,1.0278037416924748,0.3057775311203877
Comilla,SNAIVE,SVR,4.381705258622535,2.264120251881984e-05
Comilla,SNAIVE,XGB,2.8508244993768077,0.005006242293187009
Comilla,SARIMA,SNAIVE,-5.004846854509454,1.6184475964984176e-06
Comilla,SARIMA,SVR,-1.1212969156827342,0.26404092976014787
Comilla,SARIMA,XGB,-3.602439240363011,0.00043418498067001834
Comilla,SARIMA,SARIMA+ANN,-0.44736540897793003,0.6552881494111745
Comilla,SARIMA,SARIMA+SVR,1.6077869016926534,0.11008755973840396
Comilla,SARIMA,SARIMA+XGB,2.31364496250948,0.022112520542786503
