station,model,date,forecast,lower95,upper95,sarima_forecast,sarima_lower95,sarima_upper95
Cox's Bazar,SARIMA+LSTM,2027-02-01,30.158831878350355,28.240288777724427,31.462212850102713,30.173869688992347,28.698574961435597,31.649164416549098
Cox's Bazar,SARIMA+LSTM,2027-03-01,32.594599879620226,30.676056778994298,33.89798085137258,32.60815592482658,31.127818733958136,34.08849311569503
Cox's Bazar,SARIMA+LSTM,2027-04-01,33.812647921504066,31.894104820878137,35.11602889325643,33.82464367762266,32.33933881978812,35.3099485354572
Cox's Bazar,SARIMA+LSTM,2027-05-01,33.7852713446676,31.86672824404167,35.08865231641995,33.79600134239363,32.30580222042145,35.28620046436581
Cox's Bazar,SARIMA+LSTM,2027-06-01,32.16701022344283,30.2484671228169,33.47039119519519,32.17671083772913,30.68168949752752,33.67173217793075
Cox's Bazar,SARIMA+LSTM,2027-07-01,31.41635733723027,29.49781423660434,32.71973830898263,31.425155867512892,29.925383033328885,32.9249287016969
Cox's Bazar,SARIMA+LSTM,2027-08-01,31.66407314588736,29.745530045261432,32.96745411763972,31.672262246869817,30.167807355274324,33.17671713846531
Cox's Bazar,SARIMA+LSTM,2027-09-01,32.44629205157274,30.527748950946812,33.7496730233251,32.454046190482124,30.944977423141484,33.96311495782276
Cox's Bazar,SARIMA+LSTM,2027-10-01,32.870897470418946,30.952354369793017,34.1742784421713,32.878081575853635,31.364465891144352,34.391697260562914
Cox's Bazar,SARIMA+LSTM,2027-11-01,31.612609441036863,29.694066340410934,32.91599041278922,31.619134001393398,30.101037164913865,33.13723083787293
Cox's Bazar,SARIMA+LSTM,2027-12-01,28.924482816075816,27.005939715449887,30.227863787828174,28.93026341172819,27.407751956181183,30.4527748672752
Cox's Bazar,SARIMA+LSTM,2028-01-01,27.920458918501225,26.001915817875297,29.223839890253583,27.925676984645662,26.393177583828052,29.458176385463272
Cox's Bazar,SARIMA+LSTM,2028-02-01,30.19955672925688,28.28101362863095,31.502937701009238,30.204351089278376,28.666111586774505,31.742590591782246
Cox's Bazar,SARIMA+LSTM,2028-03-01,32.63887857608941,30.720335475463482,33.94225954784177,32.643290501805126,31.100388786079915,34.18619221753033
Cox's Bazar,SARIMA+LSTM,2028-04-01,33.85793532431198,31.939392223686053,35.16131629606434,33.86200287155333,32.314506377248904,35.409499365857755
Cox's Bazar,SARIMA+LSTM,2028-05-01,33.82852996593653,31.909986865310604,35.131910937688886,33.83229145853373,32.28026642398911,35.38431649307835
Cox's Bazar,SARIMA+LSTM,2028-06-01,32.21307663032549,30.29453352969956,33.51645760207785,32.216563424139636,30.66007492072623,33.77305192755304
Cox's Bazar,SARIMA+LSTM,2028-07-01,31.462246923808273,29.543703823182344,32.76562789556063,31.46548635471826,29.904598315182433,33.026374394254084
Cox's Bazar,SARIMA+LSTM,2028-08-01,31.70433993503591,29.785796834409982,33.007720906788265,31.707356122934886,30.142131368791382,33.27258087707839
Cox's Bazar,SARIMA+LSTM,2028-09-01,32.48491991395308,30.56637681332715,33.78830088570544,32.487731618757934,30.918231886776134,34.057231350739734
Cox's Bazar,SARIMA+LSTM,2028-10-01,32.90779450231174,30.98925140168581,34.21117547406409,32.91041833994886,31.336704307771168,34.48413237212655
Cox's Bazar,SARIMA+LSTM,2028-11-01,31.65272714053599,29.734184039910062,32.95610811228835,31.655181334924652,30.07731264585454,33.233050023994764
Cox's Bazar,SARIMA+LSTM,2028-12-01,28.965230024198945,27.046686923573017,30.268610995951303,28.96753360325485,27.38557106318548,30.54949614332422
Faridpur,SARIMA+SVR,2026-01-01,24.798287489093994,22.798971912309405,26.599199849145357,24.699280132620558,22.918195359303805,26.48036490593731
Faridpur,SARIMA+SVR,2026-02-01,28.94283073950361,26.94351516271902,30.743743099554973,28.84755098729421,27.006205312806927,30.68889666178149
Faridpur,SARIMA+SVR,2026-03-01,33.24905823908151,31.249742662296924,35.04997059913288,33.33953682298314,31.494116746990883,35.1849568989754
Faridpur,SARIMA+SVR,2026-04-01,35.20888468024715,33.20956910346256,37.009797040298515,35.29960854197525,33.453908422886784,37.14530866106372
Faridpur,SARIMA+SVR,2026-05-01,34.44327559293535,32.44396001615076,36.244187952986714,34.53788123244116,32.69216184416773,36.38360062071459
Faridpur,SARIMA+SVR,2026-06-01,33.68230352194053,31.682987945155944,35.483215881991896,33.684501807294446,31.838781093048315,35.53022252154058
