date,station,origin,actual,LSTM,SARIMA+LSTM
2020-02-01,Rangamati,2017,27.98,30.75665533065796,29.744364082601713
2020-03-01,Rangamati,2017,33.0,33.043889904022215,33.19140065119547
2020-04-01,Rangamati,2017,34.56,33.61196287155151,34.21594767845449
2020-05-01,Rangamati,2017,33.55,32.90142826080322,33.76994642350618
2020-06-01,Rangamati,2017,32.76,32.03073583602905,32.410596976216354
2020-07-01,Rangamati,2017,32.11,31.787885627746583,31.79286676411043
2020-08-01,Rangamati,2017,32.43,32.08376726150513,32.25830397162065
2020-09-01,Rangamati,2017,33.03,32.338622150421145,32.6502015354144
2020-10-01,Rangamati,2017,33.67,31.766642246246338,32.37449759662805
2020-11-01,Rangamati,2017,30.27,29.715417613983153,30.130821943164992
2020-12-01,Rangamati,2017,26.83,27.69845687866211,27.288929529992384
2021-01-01,Rangamati,2020,27.89,25.141599004268645,26.643394801263614
2021-02-01,Rangamati,2020,30.12,27.966352224349976,29.758296729923234
2021-03-01,Rangamati,2020,34.94,31.836945991516114,33.26159912455979
2021-04-01,Rangamati,2020,36.36,33.78453357696533,34.3206292486071
2021-05-01,Rangamati,2020,35.69,33.879863300323485,33.82752604009925
2021-06-01,Rangamati,2020,31.47,32.59589111328125,32.53378936788645
2021-07-01,Rangamati,2020,32.02,31.66368320465088,31.884846198866132
2021-08-01,Rangamati,2020,31.47,31.74548801422119,32.3811682658436
2021-09-01,Rangamati,2020,33.54,32.19467311859131,32.76440795285862
2021-10-01,Rangamati,2020,33.05,32.37553394317627,32.41166729314331
2021-11-01,Rangamati,2020,30.33,30.16253077507019,30.164555285915057
2021-12-01,Rangamati,2020,26.79,27.09717592716217,27.280712583465082
2022-01-01,Rangamati,2020,25.93,25.18862114906311,26.730997784977195
2022-02-01,Rangamati,2020,28.52,27.710042400360106,29.78409424958954
2022-03-01,Rangamati,2020,34.45,31.43236846923828,33.2452455901045
2022-04-01,Rangamati,2020,34.82,33.446830673217775,34.30949739997918
2022-05-01,Rangamati,2020,32.6,33.62404418945312,33.825128115777304
2022-06-01,Rangamati,2020,31.79,32.39819980621338,32.524833476384856
2022-07-01,Rangamati,2020,33.68,31.544389476776125,31.883606808683528
2022-08-01,Rangamati,2020,33.55,31.68910566329956,32.384377199016015
2022-09-01,Rangamati,2020,32.9,32.14228607177734,32.767754571150185
2022-10-01,Rangamati,2020,32.85,32.220576515197756,32.42091553840583
2022-11-01,Rangamati,2020,31.37,30.207820663452146,30.197437242050434
2022-12-01,Rangamati,2020,28.21,27.17267614841461,27.303679068981516
2023-01-01,Rangamati,2020,27.56,25.17698782682419,26.741171594410396
2023-02-01,Rangamati,2020,30.7,27.432935919761658,29.79671604312104
2023-03-01,Rangamati,2020,32.84,31.178541927337648,33.26049689820783
2023-04-01,Rangamati,2020,35.75,33.3191185760498,34.32740135639865
2023-05-01,Rangamati,2020,34.84,33.56602821350098,33.84495574068914
2023-06-01,Rangamati,2020,33.19,32.38815797805786,32.54604154673697
2023-07-01,Rangamati,2020,33.89,31.50043565750122,31.906116833982473
2023-08-01,Rangamati,2020,30.62,31.637208938598633,32.407880906245985
2023-09-01,Rangamati,2020,33.62,32.09856060028076,32.792084753275745
2023-10-01,Rangamati,2020,31.98,32.19837673187256,32.4460260812105
2023-11-01,Rangamati,2020,30.44,30.314485664367677,30.22317763696634
2023-12-01,Rangamati,2020,27.45,27.271600198745727,27.329583687927865
2012-01-01,Rangpur,2011,21.97,21.582074386328458,22.408197004161227
2012-02-01,Rangpur,2011,26.5,25.715940549373627,26.21566548266835
2012-03-01,Rangpur,2011,30.79,30.24725921988487,30.20891123023012
2012-04-01,Rangpur,2011,31.38,32.36179330945015,31.3710723327034
2012-05-01,Rangpur,2011,33.27,32.281663151979444,31.945991765608102
2012-06-01,Rangpur,2011,31.91,32.07226931333542,31.772884102247495
2012-07-01,Rangpur,2011,31.69,32.0484203338623,31.8530334711267
2012-08-01,Rangpur,2011,32.76,32.07181425690651,32.21123368710605
2012-09-01,Rangpur,2011,31.98,31.88918578147888,31.779199142408554
2012-10-01,Rangpur,2011,31.24,30.87013090610504,30.60405607033823
2012-11-01,Rangpur,2011,28.38,27.841120696663857,28.47652669493364
2012-12-01,Rangpur,2011,22.73,24.43623890519142,25.15041389120874
2013-01-01,Rangpur,2011,22.52,22.527357637882233,22.72493705146581
2013-02-01,Rangpur,2011,27.27,26.296099784374235,26.39415537354266
2013-03-01,Rangpur,2011,31.59,30.489419635534286,30.21751510534284
2013-04-01,Rangpur,2011,31.23,32.236781011819836,31.417483040785804
2013-05-01,Rangpur,2011,31.08,32.09957772731781,31.951202214394932
2013-06-01,Rangpur,2011,33.37,31.94299306154251,31.923180239281105
2013-07-01,Rangpur,2011,32.8,31.997853759527203,31.958833058220392
2013-08-01,Rangpur,2011,32.18,32.06507389068604,32.271800199508476
2013-09-01,Rangpur,2011,32.94,31.849937793016434,31.931962510755252
2013-10-01,Rangpur,2011,30.05,30.74325564265251,30.875541730647555
2013-11-01,Rangpur,2011,28.63,27.975711806416513,28.521262477503008
2013-12-01,Rangpur,2011,24.36,24.77493413686752,24.988357922848394
2014-01-01,Rangpur,2011,22.22,22.95326908528805,22.69547568338827
2014-02-01,Rangpur,2011,24.36,26.44295856177807,26.38598093073043
2014-03-01,Rangpur,2011,30.44,30.43927040576935,30.242793654951598
2014-04-01,Rangpur,2011,34.29,32.11213200509548,31.440362014238247
2014-05-01,Rangpur,2011,33.28,32.01807611525059,31.981695963163933
2014-06-01,Rangpur,2011,32.64,31.894470469951628,31.934535493201437
2014-07-01,Rangpur,2011,33.2,31.96233673095703,31.977419660900622
2014-08-01,Rangpur,2011,32.04,32.04552657723427,32.29327855779675
2014-09-01,Rangpur,2011,31.44,31.850307369232176,31.93855122217266
2014-10-01,Rangpur,2011,31.49,30.786053574085237,30.867059142286866
2014-11-01,Rangpur,2011,29.36,28.131861528754236,28.540733394335703
2014-12-01,Rangpur,2011,24.14,24.991998567581177,25.024605069877733
2015-01-01,Rangpur,2014,22.4,22.130088032931088,22.685247952019843
2015-02-01,Rangpur,2014,26.49,25.88322092682123,26.65298469833429
2015-03-01,Rangpur,2014,30.19,30.5208373850584,30.632677781517415
2015-04-01,Rangpur,2014,30.24,32.562953392267225,31.577975218215865
2015-05-01,Rangpur,2014,32.04,32.44993472278118,32.06278162615924
2015-06-01,Rangpur,2014,31.62,32.20929158091545,32.139112250546425
2015-07-01,Rangpur,2014,32.99,32.19951038181782,32.06535339156533
2015-08-01,Rangpur,2014,31.92,32.15599215388298,32.350139591505425
2015-09-01,Rangpur,2014,32.24,31.85950026333332,32.08125120709793
2015-10-01,Rangpur,2014,32.26,30.84143469572067,30.88543279966077
2015-11-01,Rangpur,2014,29.25,28.107269625663754,28.557559570545955
2015-12-01,Rangpur,2014,24.41,24.33491594016552,24.79338039616524
2016-01-01,Rangpur,2014,23.13,22.701563169658183,22.689791875471514
2016-02-01,Rangpur,2014,27.88,26.46006528943777,26.330970921960834
2016-03-01,Rangpur,2014,31.2,30.59369795322418,30.44901554193246
2016-04-01,Rangpur,2014,32.88,32.3017384314537,31.722490899357098
2016-05-01,Rangpur,2014,31.26,32.233722580075266,32.129332029522274
2016-06-01,Rangpur,2014,33.03,32.08260613381863,32.133170395353474
2016-07-01,Rangpur,2014,31.93,32.111390338540076,32.13031710091805
2016-08-01,Rangpur,2014,33.94,32.12445498347282,32.287212033294594
2016-09-01,Rangpur,2014,32.32,31.83074497103691,31.958312613321176
2016-10-01,Rangpur,2014,32.09,30.675349155664442,30.880412070311507
2016-11-01,Rangpur,2014,29.85,27.869942613244056,28.59208976251863
2016-12-01,Rangpur,2014,27.01,24.368069692254068,24.690330497484876
2017-01-01,Rangpur,2014,25.27,23.05635822236538,22.60662661567977
2017-02-01,Rangpur,2014,27.64,26.764944297373294,26.28979638761103
2017-03-01,Rangpur,2014,27.99,30.670725681781768,30.39489360848952
2017-04-01,Rangpur,2014,30.37,32.21709919273853,31.644632777062352
2017-05-01,Rangpur,2014,32.35,32.15693369328976,32.07306974523605
2017-06-01,Rangpur,2014,33.42,32.03947508096695,32.08563822804486
2017-07-01,Rangpur,2014,32.37,32.081301303505896,32.076747499917175
2017-08-01,Rangpur,2014,32.75,32.09761168241501,32.250405741988025
2017-09-01,Rangpur,2014,32.91,31.792754044532774,31.924893416749608
2017-10-01,Rangpur,2014,31.36,30.596160537600518,30.83438698592301
2017-11-01,Rangpur,2014,29.18,27.78134991466999,28.545655229338337
2017-12-01,Rangpur,2014,26.69,24.373988568484783,24.66076101689128
2018-01-01,Rangpur,2017,21.41,25.075667982995512,23.601807089153585
2018-02-01,Rangpur,2017,26.75,26.110658004283906,27.050004861576618
2018-03-01,Rangpur,2017,30.99,29.19101416647434,31.062832074788346
2018-04-01,Rangpur,2017,30.6,31.654981310963628,32.33384410919901
2018-05-01,Rangpur,2017,31.1,32.52281917512417,32.64255534938161
2018-06-01,Rangpur,2017,33.35,32.75089798271656,32.72757133224634
2018-07-01,Rangpur,2017,33.32,32.7926701515913,32.71535391497525
2018-08-01,Rangpur,2017,33.59,32.83435432612896,32.95376066162141
2018-09-01,Rangpur,2017,32.99,32.728453141450885,32.5282166791105
2018-10-01,Rangpur,2017,30.82,32.06501732289791,31.608454484416075
2018-11-01,Rangpur,2017,29.25,30.29063414275646,29.2643338011385
2018-12-01,Rangpur,2017,25.68,27.60122676372528,25.356891921709927
2019-01-01,Rangpur,2017,25.71,25.189981426298615,23.32840447373062
2019-02-01,Rangpur,2017,26.35,25.176163172721864,26.976956663432283
2019-03-01,Rangpur,2017,30.14,28.46032050490379,30.66210987942428
2019-04-01,Rangpur,2017,31.08,31.362025535702706,31.978909673638984
2019-05-01,Rangpur,2017,32.06,32.46105972111225,32.45465718202759
2019-06-01,Rangpur,2017,33.74,32.71951417386532,32.65648817535173
2019-07-01,Rangpur,2017,32.82,32.8126448661089,32.55651560996436
2019-08-01,Rangpur,2017,34.17,32.8340124052763,32.79252341534154
2019-09-01,Rangpur,2017,31.59,32.750417785048484,32.43515258537165
2019-10-01,Rangpur,2017,30.69,32.305597611665725,31.459047949614124
2019-11-01,Rangpur,2017,29.94,30.90444492638111,29.12607688720165
2019-12-01,Rangpur,2017,23.55,28.30271887600422,25.376314695422494
2020-01-01,Rangpur,2017,22.5,25.661381546258923,23.270326683581345
2020-02-01,Rangpur,2017,26.05,24.664807966947556,26.892148719959685
2020-03-01,Rangpur,2017,29.87,27.57915778398514,30.605813995051438
2020-04-01,Rangpur,2017,31.39,30.834738326668738,31.904061974375733
2020-05-01,Rangpur,2017,31.58,32.34782357990741,32.36245659710351
2020-06-01,Rangpur,2017,32.94,32.693100787997246,32.55701332436351
2020-07-01,Rangpur,2017,32.0,32.81012445688248,32.473655182596
2020-08-01,Rangpur,2017,34.12,32.8463517254591,32.7110653997772
2020-09-01,Rangpur,2017,31.49,32.79744698703289,32.35077939239578
2020-10-01,Rangpur,2017,33.1,32.484376963377,31.385887661991838
2020-11-01,Rangpur,2017,29.48,31.383327707648277,29.054062525817177
2020-12-01,Rangpur,2017,25.14,28.993866625428197,25.291029409835982
2021-01-01,Rangpur,2020,22.67,23.77825747847557,23.22962797684556
2021-02-01,Rangpur,2020,28.12,25.88636609584093,26.804753702151626
2021-03-01,Rangpur,2020,31.26,29.670548105835913,30.573427900681835
2021-04-01,Rangpur,2020,33.34,31.901590468883512,31.721379630300127
2021-05-01,Rangpur,2020,31.82,32.55520989060402,32.2631990432526
2021-06-01,Rangpur,2020,32.7,32.644285300970076,32.77925119174904
2021-07-01,Rangpur,2020,33.23,32.53858398914337,32.606852150980934
2021-08-01,Rangpur,2020,33.01,32.47685721874237,32.93348910540351
2021-09-01,Rangpur,2020,33.73,32.163795994520186,32.34232494115679
2021-10-01,Rangpur,2020,32.38,31.54013235926628,31.274573206964078
2021-11-01,Rangpur,2020,29.56,29.46012976169586,29.107820968387326
2021-12-01,Rangpur,2020,26.97,26.534933385550975,25.13670074459713
2022-01-01,Rangpur,2020,23.49,24.580165585577486,23.158981537001285
